Date,High,Low,Open,Close,Volume,Adj Close
09-09-2014,2518290,2268000,2430000,2405700,0,2405700
10-09-2014,2398410,2235600,2316600,2389500,0,2389500
11-09-2014,2381400,2227500,2358720,2340900,0,2340900
12-09-2014,2349000,2268000,2308500,2349000,0,2349000
15-09-2014,2313360,2276100,2313360,2276100,0,2276100
16-09-2014,2592000,2268000,2268000,2511000,0,2511000
17-09-2014,3037500,2673000,3037500,2859300,0,2859300
18-09-2014,3255390,2877120,3037500,3102300,0,3102300
19-09-2014,3402000,3094200,3142800,3377700,0,3377700
22-09-2014,3397950,3240000,3393900,3369600,0,3369600
23-09-2014,3385800,3256200,3261870,3385800,0,3385800
24-09-2014,3353400,3134700,3288600,3280500,0,3280500
25-09-2014,3369600,3142800,3369600,3167100,0,3167100
26-09-2014,3280500,3126600,3280500,3240000,0,3240000
29-09-2014,3240000,3142800,3240000,3159000,0,3159000
30-09-2014,3321000,3142800,3207600,3312900,0,3312900
01-10-2014,3312900,3167100,3167100,3240000,0,3240000
02-10-2014,3240000,3061800,3240000,3231900,0,3231900
03-10-2014,3231900,3078000,3199500,3215700,0,3215700
06-10-2014,3175200,2754000,3175200,2786400,0,2786400
07-10-2014,2754000,2632500,2632500,2728890,0,2728890
08-10-2014,2729700,2632500,2728890,2689200,0,2689200
09-10-2014,2737800,2535300,2721600,2551500,0,2551500
10-10-2014,2624400,2511000,2511000,2511000,0,2511000
13-10-2014,2584710,2430000,2515050,2519100,0,2519100
14-10-2014,2611440,2430000,2486700,2527200,0,2527200
15-10-2014,2600100,2438100,2600100,2592000,0,2592000
16-10-2014,2600100,2397600,2583900,2430000,0,2430000
17-10-2014,2745900,2413800,2470500,2567700,0,2567700
20-10-2014,2559600,2438100,2511000,2438100,0,2438100
21-10-2014,2583090,2397600,2583090,2430000,0,2430000
22-10-2014,2365200,2284200,2357100,2326320,0,2326320
23-10-2014,2430000,2284200,2430000,2404890,0,2404890
24-10-2014,2308500,2130300,2292300,2187000,0,2187000
27-10-2014,2238030,2097900,2238030,2122200,0,2122200
28-10-2014,2170800,1717200,2170800,1903500,0,1903500
29-10-2014,2080890,1927800,1944000,2016900,0,2016900
30-10-2014,2170800,1830600,2081700,1895400,0,1895400
31-10-2014,2008800,1846800,1846800,1863000,0,1863000
03-11-2014,1927800,1620000,1863000,1660500,0,1660500
04-11-2014,1717200,1660500,1660500,1709100,0,1709100
05-11-2014,1830600,1732590,1732590,1741500,0,1741500
06-11-2014,1903500,1741500,1838700,1887300,0,1887300
07-11-2014,2138400,1919700,1919700,1992600,0,1992600
10-11-2014,2025000,1863000,2025000,2025000,0,2025000
11-11-2014,2065500,1911600,2065500,1984500,0,1984500
12-11-2014,2056590,1790100,2056590,1879200,0,1879200
13-11-2014,1984500,1773900,1984500,1863000,0,1863000
14-11-2014,1863000,1012500,1782000,1158300,0,1158300
17-11-2014,1239300,988200,1239300,1061100,0,1061100
18-11-2014,1077300,980100,1077300,1053000,0,1053000
19-11-2014,1044900,1012500,1044900,1028700,0,1028700
20-11-2014,1028700,972000,1028700,1012500,0,1012500
21-11-2014,1036800,955800,980100,1012500,0,1012500
24-11-2014,1093500,963900,1036800,1027080,0,1027080
25-11-2014,1044900,988200,1044900,988200,0,988200
26-11-2014,1031940,980910,1031940,1004400,0,1004400
28-11-2014,1028700,955800,1028700,1004400,0,1004400
01-12-2014,1044900,980100,1036800,980100,0,980100
02-12-2014,1028700,980100,1028700,990630,0,990630
03-12-2014,1028700,955800,1028700,980100,0,980100
04-12-2014,1012500,907200,1012500,939600,0,939600
05-12-2014,1004400,939600,946890,988200,0,988200
08-12-2014,1020600,959040,1012500,972000,0,972000
09-12-2014,1004400,939600,980100,939600,0,939600
10-12-2014,1012500,810000,972000,834300,0,834300
11-12-2014,971190,842400,891000,891000,0,891000
12-12-2014,899100,850500,899100,891000,0,891000
15-12-2014,899100,818100,899100,858600,0,858600
16-12-2014,873990,818100,834300,826200,0,826200
17-12-2014,907200,818100,834300,866700,0,866700
18-12-2014,947700,850500,891000,874800,0,874800
19-12-2014,931500,850500,931500,850500,0,850500
22-12-2014,866700,818100,866700,850500,0,850500
23-12-2014,931500,793800,931500,834300,0,834300
24-12-2014,931500,829440,834300,923400,0,923400
26-12-2014,1190700,931500,955800,1077300,0,1077300
29-12-2014,1919700,1077300,1085400,1717200,0,1717200
30-12-2014,2130300,1539000,1725300,1717200,0,1717200
31-12-2014,1692900,1547100,1676700,1652400,0,1652400
02-01-2015,1668600,1409400,1668600,1652400,0,1652400
05-01-2015,1587600,1441800,1587600,1490400,0,1490400
06-01-2015,1603800,1385100,1441800,1603800,0,1603800
07-01-2015,1782000,1425600,1595700,1636200,0,1636200
08-01-2015,1733400,1561680,1636200,1733400,0,1733400
09-01-2015,1741500,1603800,1717200,1676700,0,1676700
12-01-2015,1863000,1615950,1733400,1660500,0,1660500
13-01-2015,1717200,1629720,1668600,1636200,0,1636200
14-01-2015,1645110,1474200,1620000,1506600,0,1506600
15-01-2015,1530900,1417500,1513890,1458000,0,1458000
16-01-2015,1539000,1433700,1433700,1490400,0,1490400
20-01-2015,1563300,1490400,1490400,1490400,0,1490400
21-01-2015,1539000,1498500,1504980,1514700,0,1514700
22-01-2015,1579500,1490400,1579500,1514700,0,1514700
23-01-2015,1514700,1368900,1514700,1385100,0,1385100
26-01-2015,1392390,1142100,1385100,1150200,0,1150200
27-01-2015,1352700,1174500,1176930,1296000,0,1296000
28-01-2015,1287900,1219050,1263600,1231200,0,1231200
29-01-2015,1263600,1142100,1231200,1150200,0,1150200
30-01-2015,1296000,1142100,1231200,1215000,0,1215000
02-02-2015,1224720,1182600,1224720,1206900,0,1206900
03-02-2015,1201230,1061100,1182600,1182600,0,1182600
04-02-2015,1223100,1117800,1190700,1134000,0,1134000
